Year,Age,Male_Germans,Female_Germans,Total_Germans
2014-01-01,81,12866,12438,25304
2014-01-01,82,13669,13932,27601
2014-01-01,83,14692,15857,30549
2014-01-01,84,15037,17649,32686
2014-01-01,85,14929,18681,33610
2014-01-01,86,13869,19463,33332
2014-01-01,87,12226,20045,32271
2014-01-01,88,10931,20865,31796
2014-01-01,89,9354,20600,29954
2014-01-01,90,7681,19328,27009
2014-01-01,91,7111,18782,25893
2014-01-01,92,6446,18175,24621
2014-01-01,93,5206,16388,21594
2014-01-01,94,3887,13260,17147
2014-01-01,95,1780,6289,8069
2014-01-01,96,1160,4303,5463
2014-01-01,97,831,3519,4350
2014-01-01,98,701,3078,3779
2014-01-01,99,568,3183,3751
2014-01-01,100,993,6438,7431
2015-01-01,0,1140,958,2098
2015-01-01,1,101,71,172
2015-01-01,2,61,35,96
2015-01-01,3,43,43,86
2015-01-01,4,33,30,63
2015-01-01,5,27,24,51
2015-01-01,65,7004,3883,10887
2015-01-01,66,6990,4000,10990
2015-01-01,67,6877,4115,10992
2015-01-01,68,6945,4085,11030
2015-01-01,69,5881,3504,9385
2015-01-01,70,7594,4642,12236
2015-01-01,71,9320,5884,15204
2015-01-01,72,9562,5995,15557
2015-01-01,73,11548,7455,19003
2015-01-01,74,13385,8693,22078
2015-01-01,75,15228,10361,25589
2015-01-01,76,15371,11106,26477
2015-01-01,77,15107,11364,26471
2015-01-01,78,15535,12412,27947
2015-01-01,79,15946,13564,29510
2015-01-01,80,16848,15066,31914
2015-01-01,81,14733,14030,28763
2015-01-01,82,13985,14213,28198
2015-01-01,83,14642,15806,30448
2015-01-01,84,15456,18148,33604
2015-01-01,85,15893,19848,35741
2015-01-01,86,15548,20876,36424
2015-01-01,87,13975,21098,35073
2015-01-01,88,12408,21363,33771
2015-01-01,89,10725,22091,32816
2015-01-01,90,9139,21722,30861
2015-01-01,91,7533,19780,27313
2015-01-01,92,6466,18549,25015
2015-01-01,93,5604,17488,23092
2015-01-01,94,4467,15058,19525
2015-01-01,95,3220,11853,15073
2015-01-01,96,1379,5335,6714
2015-01-01,97,795,3701,4496
2015-01-01,98,608,2879,3487
2015-01-01,99,472,2360,2832
2015-01-01,100,1070,6746,7816
2016-01-01,0,1298,1043,2341
2016-01-01,1,93,68,161
2016-01-01,2,50,36,86
2016-01-01,3,27,35,62
2016-01-01,4,38,22,60
2016-01-01,5,35,27,62
2016-01-01,65,7085,3919,11004
2016-01-01,66,7333,4126,11459
2016-01-01,67,7511,4280,11791
2016-01-01,68,7003,4224,11227
2016-01-01,69,7410,4381,11791
2016-01-01,70,6095,3927,10022
2016-01-01,71,7794,4939,12733
2016-01-01,72,9593,6116,15709
2016-01-01,73,9935,6370,16305
2016-01-01,74,11831,7941,19772
2016-01-01,75,13886,9298,23184
2016-01-01,76,15485,11010,26495
2016-01-01,77,15858,11532,27390
2016-01-01,78,15843,12157,28000
2016-01-01,79,15994,13191,29185
2016-01-01,80,16250,14703,30953
2016-01-01,81,16989,15885,32874
2016-01-01,82,14913,14676,29589
2016-01-01,83,13829,14606,28435
2016-01-01,84,14272,16210,30482
2016-01-01,85,14962,18377,33339
2016-01-01,86,15001,19971,34972
2016-01-01,87,14663,20467,35130
2016-01-01,88,13211,20401,33612
2016-01-01,89,11287,20383,31670
2016-01-01,90,9605,20203,29808
2016-01-01,91,7895,19534,27429
2016-01-01,92,6269,17356,23625
2016-01-01,93,5174,15642,20816
2016-01-01,94,4488,14273,18761
2016-01-01,95,3330,11751,15081
2016-01-01,96,2489,9317,11806
2016-01-01,97,1058,3989,5047
2016-01-01,98,568,2496,3064
2016-01-01,99,392,1972,2364
2016-01-01,100,890,5638,6528
2017-01-01,0,1208,965,2173
2017-01-01,1,91,80,171
2017-01-01,2,49,33,82
2017-01-01,3,29,26,55
2017-01-01,4,24,38,62
2017-01-01,5,24,29,53
2017-01-01,65,7041,3834,10875
2017-01-01,66,7325,4170,11495
2017-01-01,67,7788,4393,12181
2017-01-01,68,7953,4633,12586
2017-01-01,69,7589,4554,12143
2017-01-01,70,7635,4883,12518
2017-01-01,71,6510,4209,10719
2017-01-01,72,8170,5399,13569
2017-01-01,73,10316,6851,17167
2017-01-01,74,10380,7028,17408
2017-01-01,75,12628,8663,21291
2017-01-01,76,14761,10381,25142
2017-01-01,77,16504,12070,28574
2017-01-01,78,16668,12871,29539
2017-01-01,79,16432,13503,29935
2017-01-01,80,16894,14794,31688
2017-01-01,81,17269,16118,33387
2017-01-01,82,17701,17494,35195
2017-01-01,83,15248,15955,31203
2017-01-01,84,14183,15818,30001
2017-01-01,85,14779,17861,32640
2017-01-01,86,15038,19439,34477
2017-01-01,87,14811,20723,35534
2017-01-01,88,14176,21267,35443
2017-01-01,89,12558,20638,33196
2017-01-01,90,10721,20624,31345
2017-01-01,91,8859,20205,29064
2017-01-01,92,7353,18547,25900
2017-01-01,93,5376,16118,21494
2017-01-01,94,4424,14112,18536
2017-01-01,95,3508,12408,15916
2017-01-01,96,2686,10020,12706
2017-01-01,97,1828,7514,9342
2017-01-01,98,715,3183,3898
2017-01-01,99,412,1952,2364
2017-01-01,100,833,5104,5937
2018-01-01,0,1184,953,2137
2018-01-01,1,88,87,175
2018-01-01,2,47,49,96
2018-01-01,3,40,35,75
2018-01-01,4,40,28,68
2018-01-01,5,21,19,40
2018-01-01,65,7029,3963,10992
2018-01-01,66,7629,4344,11973
2018-01-01,67,8001,4544,12545
2018-01-01,68,8300,4904,13204
2018-01-01,69,8352,5144,13496
2018-01-01,70,8052,5025,13077
2018-01-01,71,8350,5167,13517
2018-01-01,72,6960,4538,11498
2018-01-01,73,8659,5958,14617
2018-01-01,74,11046,7439,18485
2018-01-01,75,11224,7888,19112
2018-01-01,76,13467,9727,23194
2018-01-01,77,15398,11387,26785
2018-01-01,78,17450,13626,31076
2018-01-01,79,17857,14447,32304
2018-01-01,80,17581,14869,32450
2018-01-01,81,17794,16100,33894
2018-01-01,82,18123,17672,35795
2018-01-01,83,18061,18839,36900
2018-01-01,84,15826,17472,33298
2018-01-01,85,14282,16986,31268
2018-01-01,86,14601,18615,33216
2018-01-01,87,14659,20685,35344
2018-01-01,88,14465,21748,36213
2018-01-01,89,13528,21631,35159
2018-01-01,90,11588,20859,32447
2018-01-01,91,9435,19885,29320
2018-01-01,92,8046,18880,26926
2018-01-01,93,6151,17016,23167
